Sentences,Sentiment Value,NLTK Prediction,Watson Prediction
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,0.7096,0.963237
This phone is pretty sturdy and I've never had any large problems with it.,1,0.128,0.830792
I love this thing!,1,0.6696,0.98336
Everything about it is fine and reasonable for the price i.e.,1,0.2023,0.806518
VERY DISAPPOINTED.,0,-0.5256,-0.988745
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,0.6588,0.970705
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,-0.163,0.631136
The buttons for on and off are bad.,0,-0.5423,-0.599473
Essentially you can forget Microsoft's tech support.,0,0.2023,0.321572
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,0.8901,0.999187
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,0.8225,0.943733
Buy a different phone - but not this.,0,0,-0.634753
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,0.6597,-0.284627
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,0,-0.801863
"A week later after I activated it, it suddenly died.",0,-0.5574,-0.857178
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,0.5563,0.810064
Great for iPODs too.,1,0.6249,0.951555
This device is great in several situations:1.),1,0.6249,0.723006
Mic Doesn't work.,0,0,-0.91068
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,-0.4019,-0.763932
Great choice!,1,0.6588,0.977851
Nice docking station for home or work.,1,0.4215,0.924513
This is a beautiful phone.,1,0.5994,0.971415
Love this product.,1,0.6369,0.963615
Do Not Buy for D807...wrongly advertised for D807.,0,0,-0.616742
This is a great little item.,1,0.6249,0.860269
"I love this phone , It is very handy and has a lot of features .",1,0.6369,0.99767
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,-0.5216,-0.900133
I wear it everyday and it holds up very well.,1,0.3384,0.983524
Not a good bargain.,0,-0.4585,-0.927843
"Well packaged, arrived on time, and works as intended.",1,0.2732,0.694542
The battery runs down quickly.,0,0,-0.877274
"This item worked great, but it broke after 6 months of use.",0,-0.2846,0.445456
The headsets are easy to use and everyone loves them.,1,0.765,0.95059
This phone works great.,1,0.6249,0.957751
The construction of the headsets is poor.,0,-0.4767,-0.653233
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,0.784,0.967918
The phone loads super!,1,0.636,0.924087
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,0.7845,0.951403
Made very sturdy.,1,0,0.992283
Worked great!.,1,0,0.9838
The ear buds only play music in one ear.,0,0.34,0
Dont waste your money...,0,0.3252,-0.761671
Will order from them again!,1,0,0
If you plan to use this in a car forget about it.,0,-0.2263,-0.589179
I found this product to be waaay too big.,0,0,0.50792
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,0.9186,0.94387
I'm very disappointed with my decision.,0,-0.5256,-0.991597
Integrated seamlessly with the Motorola RAZR phone.,1,0,0.709497
"Buyer Beware, you could flush money right down the toilet.",0,0,-0.866908
Definitely a bargain.,1,0.5423,0.980236
The price was very good and with the free shipping and all it was a good purchase.,1,0.8653,0.993892
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,0,-0.764766
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,0.7841,0.99005
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,0.3182,-0.915366
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,0.9538,0.988651
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,0.6597,0.643801
I purcashed this for the car charger and it does not work.,0,0,-0.884518
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,0.6114,0.942796
This phone is slim and light and the display is beautiful.,1,0.5994,0.971915
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,-0.0396,0.613439
"Great product, fast shipping!.",1,0.6588,0.744249
Absolutely great.,1,0.659,0.990862
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,0.4767,0.945013
i got this phone around the end of may and i'm completely unhappy with it.,0,-0.4754,-0.899113
It is very comfortable on the ear.,1,0.5563,0.787853
It has been a winner for us.,1,0.5859,0.819128
)Setup couldn't have been simpler.,1,0,0.369503
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,0.4215,0.763824
Could not get strong enough signal.,0,-0.4023,-0.823251
Iam very pleased with my purchase.,1,0.4927,0.976518
Bad Quality.,0,-0.5423,-2
Gets the job done.,1,0,0.661166
Great audio!.,1,0.6588,0.973889
Basically the service was very bad.,0,-0.5849,-0.947913
it did not work in my cell phone plug i am very up set with the charger!.,0,0,-0.81086
"I've only had my bluetooth for a few weeks, but I really like it.",1,0.5704,0.404849
The BT headset was such a disapoinment.,0,0,0
It is so small and you don't even realize that it is there after a while of getting used to it.,1,0,-0.607879
The accompanied software is almost brilliant.,1,0.5434,0.932388
Headset works great & was packaged nicely to avoid any damage.,1,0.3818,0.907134
!I definitly recommend!!,1,0.5229,0.993591
Buyer--Be Very Careful!!!!!.,0,0,0.95053
The majority of the Logitech earbud headsets failed.,0,-0.5106,0
Very good stuff for the price.,1,0.4927,0.966334
My headset works just peachy-keen.,1,0,0.815035
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,-0.296,-0.973402
Voice recognition is tremendous!,1,0,0.901194
What a waste.,0,-0.4215,-2
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,0,-0.536074
I was not happy with this item.,0,-0.4585,-0.969053
very disappointed.,0,-0.5256,-0.998383
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,0.3612,-0.584544
I got this phone on reccomendation from a relative and I'm glad I did.,1,0.4588,0.965344
What a waste of time!,0,-0.4753,-0.914014
Its reception is very very poor.,0,-0.5678,-0.910657
Items stated as included from the description ARE NOT INCLUDED.,0,0,0
"After 3 months, screen just went black all of a sudden.",0,0,-0.689086
I Was Hoping for More.,0,0.4215,0.412773
"Audio Quality is poor, very poor.",0,-0.7351,-0.962197
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,-0.6969,0.81175
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,0.8968,0.777993
I've bought $5 wired headphones that sound better than these.,0,0.4404,0.440588
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,0,0.745284
"Nice quality build, unlike some cheap s*** out there.",1,0.4215,0.931864
This item is fantastic and works perfectly!,1,0.8439,0.993083
And I just love the colors!,1,0.6696,0.978312
W810i is just SUPERB.,1,0.7034,0.975266
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,-0.0754,-0.593513
Great charger.,1,0.6249,0.971777
This is essentially a communications tool that does not communicate.,0,0,0
Works like a charm; it work the same as the one I got with the phone.,1,0.6369,0.882692
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,-0.2235,-0.841417
Great Value.,1,0.7579,0.990303
Doesn't work at all.. I bougth it for my L7c and its not working.,0,0,-0.908683
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,0.8591,0.994747
doesn't last long.,0,0,-0.494554
One thing I hate is the mode set button at the side.,0,-0.5719,-0.941963
EXCELLENT SERVICE!!!!!!!!.,1,0.7067,0.967968
Thank you for wasting my money.,0,-0.0516,0.581158
How can that be?The audio quality is poor.,0,-0.4767,-0.863011
The iGo chargers and tips are really great.,1,0.659,0.985406
The file browser offers all the options that one needs.Handsfree is great.,1,0.6249,0.970323
Superb Phone on a Great Network.,1,0.8481,0.986371
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,0.6369,0.626661
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,0.4215,-0.781344
It only recognizes the Phone as its storage device.,0,0,0
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,0.4199,-0.541818
Don't buy this product.,0,0,-0.794119
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,-0.4023,-0.92483
The sound quality is good and functionality is awesome.,1,0.7906,0.993484
"I have this phone and it is a thorn in my side, I really abhor it.",0,-0.5095,-0.91884
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,-0.4019,-0.91978
Incredible!.,1,0,0.959711
Design Flaw?.,0,0,-2
Great phone!.,1,0.6588,0.942144
Waste of 13 bucks.,0,-0.4215,-0.907833
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,-0.3182,-0.94204
The replacement died in a few weeks.,0,-0.5574,0
Any ring tone..Overall good phone to buy..,1,0.4404,0.779129
Lately they have been extremely nice and helpful on the phone.,1,0.7316,0.967778
I have had problems wit hit dropping signal and more.,0,-0.4019,-0.767094
Not impressed.,0,-0.3724,-2
"Light weight, I hardly notice it is there.",1,0,-0.634821
You'll love how thin it is.,1,0.6369,0.974741
Bad Choice.,0,-0.5423,-0.933108
The pleather case doesn't fit.,0,-0.2755,-0.889031
"useless phone, simply deaf.",0,-0.4215,-0.986014
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,0.4767,0.772111
All in all I think it was a good investment.,1,0.4404,0.969289
It makes very strange ticking noises before it ends the call.,0,-0.2716,-0.783423
The best electronics of the available FM Transmitters.,1,0.6369,0
Battery lasts only a few hours.,0,0,-0.386277
"great headset, very impressed - H500.",1,0.8173,0.972147
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,0,0.8357
I've had this for nearly 2 years and it has worked great for me.,1,0.6249,0.956571
Good transmit audio.,1,0.4404,0.830394
We are sending it back.,0,0,0
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,0.1326,-0.503327
"If you hate earbugs, avoid this phone by all means.",0,-0.7096,-0.953292
Great price also!,1,0.6588,0.963733
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,-0.296,0.523272
fast service.,1,0,-2
I would highly recommend this.,1,0.4201,0.972083
I would recommend this.,1,0.3612,0.708175
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,-0.4973,-0.36593
WORST PHONE EVER.,0,-0.6249,-0.980913
I'm still infatuated with this phone.,1,0.0516,0
Freezes frequently4.,0,-0.0258,0
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,-0.699,-0.986836
"Simple, lightweight and great fit.",1,0.765,0.987913
"All in all, I'd expected a better consumer experience from Motorola.",0,0.4404,0.635238
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,-0.5423,-0.975841
These are certainly very comfortable and functionality is decent.,1,0.7178,0.993689
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,0.3623,-0.741341
I'm a bit disappointed.,0,-0.4767,-0.97031
"I have had this phone for over a year now, and I will tell you, its not that great.",0,-0.5096,-0.324944
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,0,0.627426
The battery is completely useless to me.,0,-0.4754,-0.987385
What a big waste of time.,0,-0.4215,-0.89107
Don't waste your $$$ on this one.,0,0.3252,-0.548763
Great sound and service.,1,0.6249,0.966762
Really pleased with this product so far.,1,0.4927,0.980201
One of my favorite purchases ever.,1,0.4588,0.961747
best bluetooth on the market.,1,0.6369,0.873137
Authentic leather with nice shine and comfort .I recommend you this case !!,1,0.8118,0.999092
I was very excited to get this headset because I thought it was really cute.,1,0.7172,0.978791
Do not make the same mistake as me.,0,-0.34,-0.901866
Big Disappointment with calendar sync.,0,-0.5106,-0.903875
the phone was unusable and was not new.,0,0,-0.825107
Worst Customer Service Ever.,0,-0.6249,-0.988813
"No additional ear gels provided, and no instructions whatsoever.",0,-0.5267,-0.783505
It defeats the purpose of a bluetooth headset.,0,-0.3182,0
Worth every penny.,1,0.2263,0.851085
Excellent wallet type phone case.,1,0.5719,0.631804
Nice headphones for the price and they work great!,1,0.8016,0.981629
Internet is excrutiatingly slow.,0,0,-0.864515
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,0.7774,0.873815
"It's fits like a glove and is strong, secure, and durable.",1,0.802,0.975365
O my gosh the best phone I have ever had.,1,0.6369,0.752874
It's very attractive and appears to be of good quality.,1,0.7264,0.957383
I love all the features and form factor.,1,0.6369,0.987982
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,0.5106,-0.919895
poor quality and service.,0,-0.4767,-0.967702
"The cable looks so thin and flimsy, it is scary.",0,-0.4939,-0.985303
Great Earpiece.,1,0.6249,0.964831
Excellent hands free tool.,1,0.7906,0.990511
Great for using with your home stereo.,1,0.6249,0.965731
Good product - incredible value.,1,0.6486,0.977712
Only had this a month but it's worked flawlessly so far.,1,0.296,0.418925
Works great.,1,0.6249,0.969876
Absolutel junk.,0,0,-2
THAT one didn't work either.,0,0,-0.679397
Battery life is real good.,1,0.4404,0.973595
Returned 8 hours later.,0,0,0
It's a great item.,1,0.6249,0.929803
Don't waste your money!.,0,0.3867,-0.761671
Love this headset!,1,0.6696,0.978302
"Not only will it drain your player, but may also potentially fry it.",0,0,-0.567651
Worked perfectly!,1,0.6696,0.96546
Unreliable - I'm giving up.,0,0.34,-0.723373
I gave it 5 stars because of the sound quality.,1,0,0.808207
Avoid this one if you can.,0,-0.296,-0.76429
Reversible plug works great.,1,0.6249,0.98141
I wasted my little money with this earpiece.,0,-0.4939,-0.9256
Very good phone.,1,0.4927,0.968777
"Best of all is the rotating feature, very helpful.",1,0.807,0.998083
Comfort for our whole family.,1,0.3612,0.76269
"Good product, good seller.",1,0.7003,0.916209
I love this bluetooth!,1,0.6696,0.990016
"First of all, it doesn't wear well.",0,-0.2057,-0.264923
I am very impressed with this headset from Plantronics.,1,0.5256,0.67097
I got it because it was so small and adorable.,1,0.5367,0.977884
Great phone!.,1,0.6588,0.942144
I wouldn't recommend buying this product.,0,-0.2755,-0.862372
Piece of Junk.,0,0,-2
Poorly contstruct hinge.,0,0,-0.865502
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,0.3182,0.959603
Great Phone.,1,0.6249,0.942144
Don't buy it.,0,0,-0.51202
Excellent Phone.,1,0.5719,0.924126
DO NOT PURCHASE THIS PHONE.,0,0,0
The voice recognition thru the handset is excellent.,1,0.5719,0.980496
This is hands down the best phone I've ever had.,1,0.6369,0.338993
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,-0.3612,-0.637313
This one works and was priced right.,1,0,0.926764
Customer service was terrible.,0,-0.4767,-0.983276
Battery life still not long enough in Motorola Razor V3i.,0,0,-0.304049
Sending it back.,0,0,0
Now I know that I made a wise decision.,1,0.4767,0.96211
Someone shouldve invented this sooner.,1,0,-0.719094
Good price.,1,0.4404,-2
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,0.8074,0.991721
I received it quickly and it works great!!,1,0.6892,0.992997
Has been working great.,1,0.6249,0.933903
"As many people complained, I found this headset's microphone was very weak.",0,-0.7089,-0.90399
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,0.4404,-0.284657
They do not care about the consumer one bit.,0,-0.3875,0
"This is a good battery, and it got here really fast.",1,0.4404,0.960908
The instruction manual is lacking.,0,0,-0.688491
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,0.0258,0.415831
Phone now holds charge like it did when it was new.,1,0.3612,0.771212
The battery is unreliable as well as the service use antena.,0,0.2732,0
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,-0.7178,-0.975688
We have gotten a lot of compliments on it.,1,0.4019,0.743312
This is definitely a must have if your state does not allow cell phone usage while driving.,1,0.2579,-0.659728
I want my money back.,0,0.0772,-0.712737
I love this device.,1,0.6369,0.962137
I am also very happy with the price.,1,0.6115,0.992052
I ordered this product first and was unhappy with it immediately.,0,-0.4215,-0.882895
The Ngage is still lacking in earbuds.,0,0,-0.855436
I was able to do voice dialing in the car with no problem.,1,-0.5994,0.944908
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,0,-0.768067
"good item, low price.",1,0.2023,-0.826859
"However-the riingtones are not the best, and neither are the games.",0,-0.5216,-0.250263
The plug did not work very well.,0,-0.2572,-0.447348
AMAZON SUCKS.,0,-0.2023,-0.979284
Rip off---- Over charge shipping.,0,0,-0.968109
VERY comfortable.,1,0.6515,0.821441
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,0.5267,0.771505
The reception is excellent!,1,0.6114,0.975279
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,0.6597,0.925246
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,0.6128,-0.520997
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,0,-0.819949
Obviously there is a problem with the adhesive.,0,-0.4019,-0.347661
Very disappointing.,0,-0.5413,-0.998971
"It was an inexpensive piece, but I would still have expected better quality.",0,0.5927,0.758963
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,-0.101,-0.799464
Excellent sound quality.,1,0.5719,0.966463
Was not happy.,0,-0.4585,-0.944197
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,-0.5684,-0.962861
New Battery works great in phone.,1,0.6249,0.972187
Worst customer service.,0,-0.6249,-0.986463
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,0.6588,0.669315
Reception is terrible and full of static.,0,-0.4767,-0.929806
Good audio quality.,1,0.4404,0.914487
This little device has transformed my organizational capability and made my life a whole lot easier.,1,0.4215,0.787693
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,-0.3182,-0.853489
Were JERKS on the phone.,0,-0.4278,-0.732536
Works like a charm.. Works as advertised.,1,0.3612,0.829672
"Comfortable, Nice Range, Good Battery Life.",1,0.8402,0.987463
Their network coverage in Los Angeles is horrible.,0,-0.5423,-0.854957
Excellent starter wireless headset.,0,0.5719,0
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,0.6249,0.936942
The only thing that I think could improve is the sound leaks out from the headset.,0,0.4404,0
"First off the reception sucks, I have never had more than 2 bars, ever.",0,-0.3612,-0.872276
The phone gets EXTREMELY HOT!,0,0,0.429748
"The microphone also works well, but (according to people I have called) it applifies everything.",1,0.1406,0.742071
Nice design and quality.,1,0.4215,0.969572
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,-0.3875,-0.738063
"It is light, easy to use, and has very clear reception and transmission.",1,0.6997,0.934956
"bad fit, way too big.",0,-0.25,-0.898355
It definitely was not as good as my S11.,1,0.0757,-0.606298
awesome device.,1,0.6249,0.951805
Waste of money.,0,-0.4215,-0.933283
"I had ordered a motorola data cable, got a very well finished and working product.",1,0.3384,0.897982
Love This Phone.,1,0.6369,0.962188
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,-0.4168,0.86055
"I'll be drivng along, and my headset starts ringing for no reason.",0,-0.296,-0.692507
Display is excellent and camera is as good as any from that year.,1,0.765,0.991193
Battery life is also great!,1,0.6588,0.991984
The worst phone I've ever had.... Only had it for a few months.,0,-0.6249,-0.967773
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,-0.6256,-0.882775
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,-0.5267,-0.924783
Protects the phone on all sides.,1,0.3182,0
This is a VERY average phone with bad battery life that operates on a weak network.,0,-0.7506,-0.947065
"Clear Skype Calls, Long Battery Life, Long Range.",1,0.3818,0.76015
Soyo technology sucks.,0,-0.3612,-0.915721
Great Hands Free Device.,1,0.8126,0.962877
"you can even take self portraits with the outside (exterior) display, very cool.",1,0.3804,0.959258
Same problem as others have mentioned.,0,-0.4019,-0.830669
After trying many many handsfree gadgets this is the one that finally works well.,1,0.2732,0.964869
Magical Help.,1,0.4019,0.325907
The worst piece of crap ever along with the Verizon customer service.,0,-0.7717,-0.991968
Poor sound quality.,0,-0.4767,-0.955467
The best phone in market :).,1,0.6369,0.983444
It worked very well.,1,0.3384,0.977593
The company shipped my product very promptly and it works well.,1,0.2732,0.985972
Exactly what I wanted.,1,0,0
The picture resolution is far below what other comparably-priced phones are offering today.,0,0,0.83639
This is a great deal.,1,0.6249,0.981186
"Excellent product, I am very satisfied with the purchase.",1,0.7778,0.992529
I highly recommend these and encourage people to give them a try.,1,0.7264,0.996171
Better than you'd expect.,1,0.4404,0.88133
"Using all earpieces, left or right, this thing will not stay on my ear.",0,0,-0.817038
Great product and price.,1,0.6249,0.911043
"Sounds good reasonably priced and effective, Its that simple !",1,0.7424,0.98619
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,0.3802,-0.587002
what a disappointment,0,-0.5106,-0.964456
Very prompt service.,1,0,0.913185
Excellent product for the price.,1,0.5719,0.840967
Very pleased with this headset.,1,0.4927,0.966031
don't waste your money and time.,0,0.3252,-0.625285
I especially love the long battery life.,1,0.6697,0.977676
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,-0.5709,-0.976353
Works great.,1,0.6249,0.969876
Plantronics Bluetooth Excelent Buy.,1,0,0
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,-0.2247,-0.955545
I'll be looking for a new earpiece.,0,0,0.82157
I highly recommend this device to everyone!,1,0.474,0.994014
Jawbone Era is awesome too!,1,0.6588,0.976918
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,-0.3327,-0.869788
After a year the battery went completely dead on my headset.,0,-0.6801,-0.924607
"I have used several phone in two years, but this one is the best.",1,0.7783,0.983748
An Awesome New Look For Fall 2000!.,1,0.6588,0.951322
This is the first phone I've had that has been so cheaply made.,0,0,-0.549328
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,-0.6342,-0.931811
The plastic breaks really easy on this clip.,0,0.4927,0
Price is good too.,1,0.4404,0.924173
Don't make the same mistake I did.,0,-0.34,-0.84634
Oh and I forgot to also mention the weird color effect it has on your phone.,0,-0.1779,-0.752842
I'm using it with an iriver SPINN (with case) and it fits fine.,1,0.2023,0.49398
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,-0.3412,-0.599128
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,0.6249,0.981344
"every thing on phone work perfectly, she like it.",1,0.7717,0.810048
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,0,-0.964975
IT'S REALLY EASY.,1,0.4927,0.842153
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,0.684,-0.643152
Fantastic earphones.,1,0.5574,0.985149
It finds my cell phone right away when I enter the car.,1,0,-0.388501
Low Quality.,0,-0.2732,-2
I highly recommend this modest priced cellular phone.,1,0.4201,0.997679
But it does get better reception and clarity than any phone I've had before.,1,0.6808,0
Warning - Stay away.,0,-0.34,-0.93931
I wish I could return the unit and get back my money.,0,0.4019,-0.903776
Awsome Device Works Great!!.,1,0,0.990436
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,-0.3612,-0.962013
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,-0.6818,-0.978765
Very Displeased.,0,-0.4927,-0.992951
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,-0.2451,-0.574018
They made this case too small and is very difficult to install.,0,-0.4201,-0.941926
Restored my phone to like new performance.,1,0.5994,0.850826
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,0.5106,0.67848
"I searched the Internet, and found this one to be the best value.",1,0.765,0.980758
Does not fit.,0,-0.2755,-0.646586
Very happy with this product.,1,0.6115,0.976117
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,0.7003,0.969062
There's really nothing bad I can say about this headset.,0,0.4816,-0.490899
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,0.5106,0.740157
Portable and it works.,1,0,0.786608
"My colleague & I now get great reception.A little expensive, but performance is great.",1,0.8481,0.818547
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,-0.2716,-0.771441
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,-0.4019,-0.82688
